Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778448901,20,GET,GET /api/v1/analytics/health-board,0.600000,0.000000,57,74,74,1400,1400,1400,1400,1400,1400,1400,1400,5,0,57,331.97960639954545,38.52964999896358,1436.493793000409,75.0
1778448901,20,GET,GET /api/v1/analytics/summary,0.400000,0.000000,24,31,31,74,74,74,74,74,74,74,74,7,0,31,238.4439458577877,19.594830999267288,1410.9123710004496,75.0
1778448901,20,GET,GET /api/v1/questionnaires/active,1.000000,0.000000,33,41,83,83,85,130,130,130,130,130,130,15,0,33,45.64731846670232,14.631428002758184,130.7612960008555,0.0
1778448901,20,POST,POST /api/v1/auth/login,2.400000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448901,20,POST,POST /api/v1/surveys,1.400000,0.000000,36,43,43,43,58,120,120,120,120,120,120,18,0,42,279.28377366717746,26.263306001055753,2654.601320002257,254.55555555555554
1778448901,20,,Aggregated,5.800000,0.000000,74,740,940,1000,1400,1500,1500,2700,2700,2700,2700,65,0,74,472.9904376620722,14.631428002758184,2654.601320002257,195.1076923076923
1778448902,20,GET,GET /api/v1/analytics/health-board,0.500000,0.000000,53,57,74,74,1400,1400,1400,1400,1400,1400,1400,7,0,53,246.65569271434964,25.459681000938872,1436.493793000409,75.0
1778448902,20,GET,GET /api/v1/analytics/summary,0.666667,0.000000,30,30,31,31,74,74,74,74,74,74,74,8,0,30,212.39596887562584,19.594830999267288,1410.9123710004496,75.0
1778448902,20,GET,GET /api/v1/questionnaires/active,1.500000,0.000000,33,40,53,62,85,130,130,130,130,130,130,21,0,33,41.39528538092106,14.631428002758184,130.7612960008555,0.0
1778448902,20,POST,POST /api/v1/auth/login,3.333333,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448902,20,POST,POST /api/v1/surveys,2.000000,0.000000,34,42,43,43,58,120,120,120,120,120,120,21,0,36,243.31432328610737,23.533842999313492,2654.601320002257,254.47619047619048
1778448902,20,,Aggregated,8.000000,0.000000,53,120,900,960,1400,1500,1500,2700,2700,2700,2700,77,0,53,404.002785377088,14.631428002758184,2654.601320002257,177.5194805194805
1778448903,20,GET,GET /api/v1/analytics/health-board,0.428571,0.000000,53,57,74,74,1400,1400,1400,1400,1400,1400,1400,7,0,53,246.65569271434964,25.459681000938872,1436.493793000409,75.0
1778448903,20,GET,GET /api/v1/analytics/summary,1.000000,0.000000,30,31,50,50,74,74,74,74,74,74,74,9,0,31,194.37182155646346,19.594830999267288,1410.9123710004496,75.0
1778448903,20,GET,GET /api/v1/questionnaires/active,1.714286,0.000000,25,33,40,53,83,85,130,130,130,130,130,28,0,27,36.17736592851933,14.631428002758184,130.7612960008555,0.0
1778448903,20,POST,POST /api/v1/auth/login,2.857143,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448903,20,POST,POST /api/v1/surveys,2.142857,0.000000,34,42,43,43,58,120,120,120,120,120,120,23,0,36,225.76500352189888,23.533842999313492,2654.601320002257,254.52173913043478
1778448903,20,,Aggregated,8.142857,0.000000,43,85,780,940,1300,1400,1500,2700,2700,2700,2700,87,0,43,360.74773174751215,14.631428002758184,2654.601320002257,163.83908045977012
1778448904,20,GET,GET /api/v1/analytics/health-board,0.625000,0.000000,53,57,74,74,1400,1400,1400,1400,1400,1400,1400,7,0,53,246.65569271434964,25.459681000938872,1436.493793000409,75.0
1778448904,20,GET,GET /api/v1/analytics/summary,0.875000,0.000000,31,50,57,57,74,74,74,74,74,74,74,10,0,31,180.65228870073042,19.594830999267288,1410.9123710004496,75.0
1778448904,20,GET,GET /api/v1/questionnaires/active,2.000000,0.000000,23,28,33,41,83,85,130,130,130,130,130,33,0,25,33.13771399993901,14.631428002758184,130.7612960008555,0.0
1778448904,20,POST,POST /api/v1/auth/login,2.500000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448904,20,POST,POST /api/v1/surveys,2.250000,0.000000,34,36,43,43,58,120,120,120,120,120,120,25,0,34,209.88913856010186,23.533842999313492,2654.601320002257,254.52
1778448904,20,,Aggregated,8.250000,0.000000,41,74,740,910,1300,1400,1500,2700,2700,2700,2700,95,0,41,332.394114252958,14.631428002758184,2654.601320002257,156.18947368421053
1778448905,20,GET,GET /api/v1/analytics/health-board,0.777778,0.000000,41,53,57,74,1400,1400,1400,1400,1400,1400,1400,10,0,39,176.59984110032383,8.236998000938911,1436.493793000409,75.0
1778448905,20,GET,GET /api/v1/analytics/summary,0.888889,0.000000,30,31,50,57,74,74,74,74,74,74,74,11,0,31,166.03614663703908,19.594830999267288,1410.9123710004496,75.0
1778448905,20,GET,GET /api/v1/questionnaires/active,2.333333,0.000000,20,27,33,40,62,85,130,130,130,130,130,38,0,21,30.696649789445615,11.235147001571022,130.7612960008555,0.0
1778448905,20,POST,POST /api/v1/auth/login,2.222222,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448905,20,POST,POST /api/v1/surveys,2.444444,0.000000,31,34,42,43,55,58,120,120,120,120,120,28,0,33,189.52761092870267,14.55816700035939,2654.601320002257,254.57142857142858
1778448905,20,,Aggregated,8.666667,0.000000,33,57,89,900,1300,1400,1500,2700,2700,2700,2700,107,0,34,296.90838237416824,8.236998000938911,2654.601320002257,148.62616822429908
1778448906,20,GET,GET /api/v1/analytics/health-board,0.700000,0.000000,25,41,53,57,74,1400,1400,1400,1400,1400,1400,14,0,19,130.83961671431356,8.236998000938911,1436.493793000409,75.0
1778448906,20,GET,GET /api/v1/analytics/summary,0.900000,0.000000,30,31,50,57,74,74,74,74,74,74,74,11,0,31,166.03614663703908,19.594830999267288,1410.9123710004496,75.0
1778448906,20,GET,GET /api/v1/questionnaires/active,2.900000,0.000000,20,25,28,33,53,85,130,130,130,130,130,40,0,20,29.83422467505079,10.304864001227543,130.7612960008555,0.0
1778448906,20,POST,POST /api/v1/auth/login,2.000000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448906,20,POST,POST /api/v1/surveys,2.400000,0.000000,33,36,42,43,56,58,120,120,120,120,120,34,0,33,161.9355756471016,14.55816700035939,2654.601320002257,254.55882352941177
1778448906,20,,Aggregated,8.900000,0.000000,31,42,58,85,1300,1400,1500,1500,2700,2700,2700,119,0,33,269.41920922717674,8.236998000938911,2654.601320002257,148.99159663865547
1778448907,20,GET,GET /api/v1/analytics/health-board,0.700000,0.000000,25,39,41,53,74,1400,1400,1400,1400,1400,1400,17,0,25,112.0442661764066,8.236998000938911,1436.493793000409,75.0
1778448907,20,GET,GET /api/v1/analytics/summary,1.000000,0.000000,30,31,50,57,74,74,74,74,74,74,74,11,0,31,166.03614663703908,19.594830999267288,1410.9123710004496,75.0
1778448907,20,GET,GET /api/v1/questionnaires/active,3.300000,0.000000,20,25,28,33,53,85,130,130,130,130,130,43,0,20,29.094273860442456,10.304864001227543,130.7612960008555,0.0
1778448907,20,POST,POST /api/v1/auth/login,2.000000,0.000000,1300,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448907,20,POST,POST /api/v1/surveys,2.600000,0.000000,31,36,42,43,55,58,120,120,120,120,120,39,0,33,145.5099585129154,14.55816700035939,2654.601320002257,254.6153846153846
1778448907,20,,Aggregated,9.600000,0.000000,30,40,55,62,1200,1400,1500,1500,2700,2700,2700,130,0,31,248.9280568310138,8.236998000938911,2654.601320002257,147.92307692307693
1778448908,20,GET,GET /api/v1/analytics/health-board,1.100000,0.000000,25,39,41,53,74,1400,1400,1400,1400,1400,1400,17,0,25,112.0442661764066,8.236998000938911,1436.493793000409,75.0
1778448908,20,GET,GET /api/v1/analytics/summary,1.100000,0.000000,30,31,50,57,74,74,74,74,74,74,74,11,0,31,166.03614663703908,19.594830999267288,1410.9123710004496,75.0
1778448908,20,GET,GET /api/v1/questionnaires/active,3.600000,0.000000,20,25,27,28,40,53,130,130,130,130,130,47,0,21,28.74259534044231,10.304864001227543,130.7612960008555,0.0
1778448908,20,POST,POST /api/v1/auth/login,1.600000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448908,20,POST,POST /api/v1/surveys,2.900000,0.000000,31,36,42,43,56,60,120,120,120,120,120,41,0,33,140.51661302446297,14.55816700035939,2654.601320002257,254.6341463414634
1778448908,20,,Aggregated,10.300000,0.000000,26,33,40,43,74,1000,1300,1400,1500,1500,1500,136,0,31,239.31462018406498,8.236998000938911,2654.601320002257,145.14705882352942
